
> 9898-mtg-chaos-rpg-2026@1.0.0 phaser
> npx serve . -l 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  4/9/2026 4:38:33 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:33 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:33 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:33 PM ::1 GET /src/lib/world-data.js
 HTTP  4/9/2026 4:38:33 PM ::1 GET /src/scripts/game.js
 HTTP  4/9/2026 4:38:33 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:33 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:33 PM ::1 GET /src/scripts/scenes.js
 HTTP  4/9/2026 4:38:33 PM ::1 Returned 304 in 0 ms
 HTTP  4/9/2026 4:38:40 PM ::1 GET /src/scenes/scene-mtgBot.html
 HTTP  4/9/2026 4:38:40 PM ::1 Returned 301 in 0 ms
 HTTP  4/9/2026 4:38:40 PM ::1 GET /src/scenes/scene-mtgBot
 HTTP  4/9/2026 4:38:40 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:40 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:40 PM ::1 GET /src/lib/world-data.js
 HTTP  4/9/2026 4:38:40 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:40 PM ::1 Returned 304 in 2 ms
 HTTP  4/9/2026 4:38:40 PM ::1 GET /src/scripts/game.js
 HTTP  4/9/2026 4:38:40 PM ::1 GET /src/scripts/scenes.js
 HTTP  4/9/2026 4:38:40 PM ::1 Returned 304 in 0 ms
 HTTP  4/9/2026 4:38:40 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/scenes/scene-generators.html
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 301 in 1 ms
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/scenes/scene-generators
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/lib/data-type-taxonomy.js
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/modules/chaos-plugin-dropin.js
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/lib/engine-schema.js
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/scripts/scenes.js
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:50 PM ::1 GET /src/scripts/generators.js
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 200 in 2 ms
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 200 in 2 ms
 HTTP  4/9/2026 4:38:50 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:57 PM ::1 GET /src/scenes/scene-generator-workbench.html
 HTTP  4/9/2026 4:38:57 PM ::1 Returned 301 in 1 ms
 HTTP  4/9/2026 4:38:57 PM ::1 GET /src/scenes/scene-generator-workbench
 HTTP  4/9/2026 4:38:57 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:57 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:57 PM ::1 GET /src/styles/generator-workbench.css
 HTTP  4/9/2026 4:38:57 PM ::1 Returned 304 in 0 ms
 HTTP  4/9/2026 4:38:57 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:57 PM ::1 GET /src/scripts/generator-workbench.js
 HTTP  4/9/2026 4:38:57 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:57 PM ::1 GET /src/lib/generated/code.txt
 HTTP  4/9/2026 4:38:57 PM ::1 Returned 200 in 3 ms
 HTTP  4/9/2026 4:41:21 PM ::1 GET /src/lib/generated/code.txt
